Team Owner,Year,Round,Team From,Swap Owner,Swap Option,Protections,Pick Number,Pick Pool,Rank
Chicago Bulls,2026,Second Round,Denver Nuggets,,,,56.0,,
Chicago Bulls,2027,First Round,,,,,,,
Chicago Bulls,2027,Second Round,Cleveland Cavaliers,,,,,,
Chicago Bulls,2028,First Round,,,,,,,
Chicago Bulls,2028,Second Round,,,,,,,
Chicago Bulls,2029,First Round,,,,,,,
Chicago Bulls,2029,Second Round,,,,,,,
Chicago Bulls,2030,First Round,,,,,,,
Chicago Bulls,2030,Second Round,,,,,,,
Chicago Bulls,2031,First Round,,,,,,,
Chicago Bulls,2031,Second Round,,,,,,,
Chicago Bulls,2031,Second Round,Denver Nuggets,,,,,,
Chicago Bulls,2031,Second Round,New York Knicks,,,,,,
Chicago Bulls,2032,First Round,,,,,,,
Chicago Bulls,2032,Second Round,,,,,,,
Chicago Bulls,2031,Second Round,,,"Minnesota Timberwolves, Golden State Warriors",,,,
Chicago Bulls,2032,Second Round,,,"Phoenix Suns, Houston Rockets",,,,
Chicago Bulls,2029,Second Round,,"Detroit Pistons, Milwaukee Bucks, New York Knicks",,,,,
Cleveland Cavaliers,2026,First Round,San Antonio Spurs,,,,29.0,,
Cleveland Cavaliers,2030,First Round,,,,,,,
Cleveland Cavaliers,2031,First Round,,,,,,,
Cleveland Cavaliers,2032,First Round,,,,,,,
Cleveland Cavaliers,2028,First Round,,"Utah Jazz, Atlanta Hawks",,,,,
Dallas Mavericks,2026,First Round,,,,,9.0,,
Dallas Mavericks,2026,First Round,Oklahoma City Thunder,,,,30.0,,
Dallas Mavericks,2026,Second Round,Phoenix Suns,,,,48.0,,
Dallas Mavericks,2027,Second Round,Chicago Bulls,,,,,,
Dallas Mavericks,2028,First Round,,Oklahoma City Thunder,,,,,
Dallas Mavericks,2029,First Round,Los Angeles Lakers,,,,,,
Dallas Mavericks,2029,Second Round,Houston Rockets,,,,,,
Dallas Mavericks,2030,First Round,,San Antonio Spurs,,,,,
Dallas Mavericks,2030,First Round,Golden State Warriors,,,21-30,,,
Dallas Mavericks,2030,Second Round,Philadelphia Sixers,,,,,,
Dallas Mavericks,2031,First Round,,,,,,,
Dallas Mavericks,2032,First Round,,,,,,,
Dallas Mavericks,2032,Second Round,,,,,,,
Dallas Mavericks,2027,First Round,,,,3-30 to Charlotte Hornets,,,
Dallas Mavericks,2030,First Round,Golden State Warriors,,,1-20 to Golden State Warriors,,,
Dallas Mavericks,2030,Second Round,Golden State Warriors,,,if GOS does not convey 1st round pick to DAL in 2030,,,
Denver Nuggets,2026,First Round,,,,,26.0,,
Denver Nuggets,2026,Second Round,Atlanta Hawks,,,,49.0,,
Denver Nuggets,2031,First Round,,,,,,,
Denver Nuggets,2028,Second Round,,,,34-60 to Washington Wizards,,,
Denver Nuggets,2027,First Round,,,,,,"DEN 6-30, OKC, LAC","Two most / more favorable, to OKC"
Detroit Pistons,2026,First Round,Minnesota Timberwolves,,,,21.0,,
Detroit Pistons,2027,First Round,,,,,,,
Detroit Pistons,2027,Second Round,,,,,,,
Detroit Pistons,2027,Second Round,Milwaukee Bucks,,,,,,
Detroit Pistons,2028,First Round,,,,,,,
Detroit Pistons,2028,Second Round,New York Knicks,,,,,,
Detroit Pistons,2029,First Round,,,,,,,
Detroit Pistons,2030,First Round,,,,,,,
Detroit Pistons,2030,Second Round,,,,,,,
Detroit Pistons,2030,Second Round,Minnesota Timberwolves,,,,,,
Detroit Pistons,2031,First Round,,,,,,,
Detroit Pistons,2031,Second Round,,,,,,,
Detroit Pistons,2031,Second Round,Dallas Mavericks,,,,,,
Detroit Pistons,2032,First Round,,,,,,,
Detroit Pistons,2032,Second Round,,,,,,,
Detroit Pistons,2027,Second Round,,"Brooklyn Nets, Dallas Mavericks",,,,,
Detroit Pistons,2031,Second Round,,"Golden State Warriors, Minnesota Timberwolves",,,,,
Detroit Pistons,2028,Second Round,Miami Heat,,,if DAL conveys 1st round pick to CHA in 2027,,,
Detroit Pistons,2027,Second Round,,"Brooklyn Nets, Dallas Mavericks",,,,,
Detroit Pistons,2028,Second Round,,"Charlotte Hornets, Los Angeles Clippers",,,,,
Detroit Pistons,2029,Second Round,,,,,,"DET, MIL, NYK",Two most favorable
Golden State Warriors,2026,First Round,,,,,11.0,,
Golden State Warriors,2026,Second Round,Los Angeles Lakers,,,,54.0,,
Golden State Warriors,2027,First Round,,,,,,,
Golden State Warriors,2028,First Round,,,,,,,
Golden State Warriors,2029,First Round,,,,,,,
Golden State Warriors,2031,First Round,,,,,,,
Golden State Warriors,2032,First Round,,,,,,,
Golden State Warriors,2030,First Round,,,,21-30 to Dallas Mavericks,,,
Golden State Warriors,2032,Second Round,,,,51-60 to Memphis Grizzlies,,,
Houston Rockets,2026,Second Round,Chicago Bulls,,,,39.0,,
Houston Rockets,2026,Second Round,,,,,53.0,,
Houston Rockets,2027,First Round,,,Brooklyn Nets,,,,
Houston Rockets,2027,First Round,Phoenix Suns,,,,,,
Houston Rockets,2027,Second Round,Memphis Grizzlies,,,,,,
Houston Rockets,2028,First Round,,,,,,,
Houston Rockets,2028,Second Round,,,,,,,
Houston Rockets,2029,Second Round,Sacramento Kings,,,,,,
Houston Rockets,2030,First Round,,,,,,,
Houston Rockets,2031,First Round,,,,,,,
Houston Rockets,2032,First Round,,,,,,,
Houston Rockets,2031,Second Round,,Atlanta Hawks,,56-60 to Boston Celtics,,,
Houston Rockets,2027,Second Round,,"Portland Trail Blazers, New Orleans Pelicans",,if 56-60,,,
Houston Rockets,2029,First Round,,,,,,"HOU, DAL, PHX",Two most favorable
Indiana Pacers,2027,First Round,,,,,,,
Indiana Pacers,2027,Second Round,Utah Jazz,,,,,,
Indiana Pacers,2028,First Round,,,,,,,
Indiana Pacers,2030,First Round,,,,,,,
Indiana Pacers,2030,Second Round,,,,,,,
Indiana Pacers,2031,First Round,,,,,,,
Indiana Pacers,2032,First Round,,,,,,,
Indiana Pacers,2032,Second Round,,,,,,,
Indiana Pacers,2028,Second Round,,,,,,"IND, PHX",More favorable
Indiana Pacers,2029,Second Round,,,,,,"IND, WAS",More favorable
Indiana Pacers,2031,Second Round,,,,,,"IND, MIA, MEM",Least favorable
Los Angeles Clippers,2026,First Round,Indiana Pacers,,,,5.0,,
Los Angeles Clippers,2026,Second Round,Memphis Grizzlies,,,,36.0,,
Los Angeles Clippers,2026,Second Round,Cleveland Cavaliers,,,,52.0,,
Los Angeles Clippers,2028,Second Round,Dallas Mavericks,,,,,,
Los Angeles Clippers,2029,First Round,Indiana Pacers,,,,,,
Los Angeles Clippers,2030,First Round,,,,,,,
Los Angeles Clippers,2031,First Round,,,,,,,
Los Angeles Clippers,2031,Second Round,,,,,,,
Los Angeles Clippers,2032,First Round,,,,,,,
Los Angeles Clippers,2032,Second Round,,,,,,,
Los Angeles Clippers,2029,First Round,,Philadelphia Sixers,,1-3,,,
Los Angeles Clippers,2027,First Round,,,,,,"LAC, DEN 6-30, OKC",Least/less favorable
Los Angeles Lakers,2026,First Round,,,,,25.0,,
Los Angeles Lakers,2028,First Round,,,,,,,
Los Angeles Lakers,2030,First Round,,,,,,,
Los Angeles Lakers,2031,First Round,,,,,,,
Los Angeles Lakers,2032,First Round,,,,,,,
Los Angeles Lakers,2027,First Round,,,,5-30 to Memphis Grizzlies,,,
Memphis Grizzlies,2026,First Round,,,,,3.0,,
Memphis Grizzlies,2026,First Round,Phoenix Suns,,,,16.0,,
Memphis Grizzlies,2026,Second Round,Indiana Pacers,,,,32.0,,
Memphis Grizzlies,2027,First Round,,,,,,,
Memphis Grizzlies,2027,First Round,Los Angeles Lakers,,,5-30,,,
Memphis Grizzlies,2028,First Round,,,,,,,
Memphis Grizzlies,2029,First Round,,,Orlando Magic,1-2,,,
Memphis Grizzlies,2029,Second Round,Portland Trail Blazers,,,,,,
Memphis Grizzlies,2030,First Round,Orlando Magic,,,,,,
Memphis Grizzlies,2031,First Round,,,,,,,
Memphis Grizzlies,2031,First Round,Phoenix Suns,,,,,,
