Team Owner,Year,Round,Team From,Swap Owner,Swap Option,Protections,Pick Number,Pick Pool,Rank
Utah Jazz,2029,Second Round,Minnesota Timberwolves,,,if MIN does not convey 1st round pick to UTH in 2029,,,
Utah Jazz,2027,First Round,,,,,,"UTH, CLE, MIN",2nd most favorable
Utah Jazz,2028,Second Round,,,,,,"DET 31-55, CHA, LAC, MIA, NYK","Least favorable of (DET 31-55, less favorable of CHA/LAC, conditional MIA, NYK)"
Utah Jazz,2029,First Round,,,,,,"UTH, CLE, MIN 6-30",Most / two most favorable
Utah Jazz,2030,Second Round,,,,,,"UTH, LAC",Less favorable
Washington Wizards,2026,First Round,,,,,1.0,,
Washington Wizards,2026,Second Round,Minnesota Timberwolves,,,,51.0,,
Washington Wizards,2026,Second Round,Oklahoma City Thunder,,,,60.0,,
Washington Wizards,2027,First Round,,,,,,,
Washington Wizards,2028,Second Round,Denver Nuggets,,,34-60,,,
Washington Wizards,2029,First Round,,,,,,,
Washington Wizards,2029,Second Round,Los Angeles Lakers,,,,,,
Washington Wizards,2031,First Round,,,,,,,
Washington Wizards,2031,Second Round,,,,,,,
Washington Wizards,2032,First Round,,,,,,,
Washington Wizards,2032,Second Round,,,,,,,
Washington Wizards,2032,Second Round,Utah Jazz,,,,,,
Washington Wizards,2028,Second Round,Denver Nuggets,,,31-33 to Denver Nuggets,,,
Washington Wizards,2027,Second Round,,"Golden State Warriors, Phoenix Suns",,,,,
Washington Wizards,2030,Second Round,,"Phoenix Suns, Portland Trail Blazers",,,,
Washington Wizards,2030,First Round,,,Phoenix Suns,,,,
Washington Wizards,2028,First Round,,,,,,"WAS, BRK, PHL 9-30, PHX, MIL, POR",Less favorable of (more favorable of WAS/least-or-less-favorable-of-BRK-PHL9-30-PHX) vs (less favorable of MIL/POR)
Washington Wizards,2029,First Round,,,,,,"POR, BOS, MIL",2nd most favorable
